"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2018 inflation-adjusted dollars)",
"1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland","24596","null","4461","null",
"1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland","23521","null","5560","null",
"1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland","26760","null","5144","null",
"1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland","38214","null","15664","null",
"1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland","26408","null","3988","null",
"1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland","13420","null","2610","null",
"1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland","23035","null","5478","null",
"1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland","23860","null","5908","null",
"1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland","23034","null","4643","null",
"1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland","36509","null","8469","null",
"1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland","24797","null","3400","null",
"1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland","19206","null","6794","null",
"1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland","16958","null","2909","null",
"1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland","15533","null","4787","null",
"1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland","23748","null","2731","null",
"1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland","19421","null","4305","null",
"1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland","18140","null","3596","null",
"1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland","15254","null","3979","null",
"1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland","21925","null","4494","null",
"1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland","11390","null","2010","null",
"1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland","21177","null","4116","null",
"1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland","24246","null","9498","null",
"1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland","29542","null","7232","null",
"1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland","42048","null","10592","null",
"1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland","22318","null","5188","null",
"1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland","42089","null","10947","null",
"1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland","27396","null","3581","null",
"1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland","5765","null","988","null",
"1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland","50706","null","12288","null",
"1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland","42039","null","9994","null",
"1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland","39527","null","13284","null",
"1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland","31471","null","3805","null",
"1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland","23237","null","2377","null",
"1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland","29731","null","13454","null",
"1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland","21833","null","4720","null",
"1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland","29373","null","5507","null",
"1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland","27680","null","3239","null",
"1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland","29693","null","6579","null",
"1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland","20495","null","4429","null",
"1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland","28769","null","3709","null",
"1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland","16007","null","2288","null",
"1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland","22131","null","5387","null",
"1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland","27305","null","6244","null",
"1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland","7625","null","1959","null",
"1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland","27738","null","3364","null",
"1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland","23267","null","2624","null",
"1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland","21266","null","4030","null",
"1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland","24509","null","3071","null",
"1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland","22911","null","4366","null",
"1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland","24628","null","3240","null",
"1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland","21443","null","2966","null",
"1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland","21223","null","3892","null",
"1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland","16243","null","2490","null",
"1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland","25689","null","3265","null",
"1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland","50682","null","9825","null",
"1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland","41145","null","6351","null",
"1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland","41714","null","7093","null",
"1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland","61296","null","11182","null",
"1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland","54266","null","10040","null",
"1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland","55660","null","21229","null",
"1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland","29552","null","6425","null",
"1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland","40732","null","6469","null",
"1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland","50003","null","7335","null",
