"GEO_ID","NAME","B19301_001E","B19301_001M","B19301_001MA","B19301_001EA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2014 Inflation-adjusted dollars)",
"1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland","21510","3852","null","null",
"1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland","20261","3158","null","null",
"1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland","21893","3050","null","null",
"1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland","26779","5177","null","null",
"1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland","31120","3577","null","null",
"1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland","12621","3424","null","null",
"1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland","21707","3253","null","null",
"1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland","19462","5225","null","null",
"1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland","27025","5977","null","null",
"1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland","33001","7880","null","null",
"1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland","22011","4855","null","null",
"1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland","19925","5174","null","null",
"1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland","10108","2330","null","null",
"1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland","21850","6539","null","null",
"1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland","22548","2733","null","null",
"1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland","19093","4453","null","null",
"1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland","17634","2838","null","null",
"1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland","12826","2127","null","null",
"1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland","23132","5999","null","null",
"1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland","9883","1935","null","null",
"1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland","17356","2951","null","null",
"1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland","16501","1848","null","null",
"1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland","25916","3372","null","null",
"1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland","47686","15414","null","null",
"1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland","20765","3277","null","null",
"1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland","30647","6368","null","null",
"1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland","32594","15847","null","null",
"1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland","4732","983","null","null",
"1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland","48494","11378","null","null",
"1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland","38077","9880","null","null",
"1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland","28434","7239","null","null",
"1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland","23093","2981","null","null",
"1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland","24549","4261","null","null",
"1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland","26677","5787","null","null",
"1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland","27041","5739","null","null",
"1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland","23451","4010","null","null",
"1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland","28161","2714","null","null",
"1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland","34112","10949","null","null",
"1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland","15980","5706","null","null",
"1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland","30183","4430","null","null",
"1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland","15234","3305","null","null",
"1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland","23407","5441","null","null",
"1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland","28711","5921","null","null",
"1500000US240010018003","Block Group 3, Census Tract 18, Allegany County, Maryland","6955","1932","null","null",
"1500000US240010019001","Block Group 1, Census Tract 19, Allegany County, Maryland","22414","5006","null","null",
"1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland","21117","2473","null","null",
"1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland","18478","3938","null","null",
"1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland","29126","4474","null","null",
"1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland","22289","5723","null","null",
"1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland","18999","2195","null","null",
"1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland","22106","2463","null","null",
"1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland","22899","3150","null","null",
"1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland","21255","5269","null","null",
"1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland","27234","3139","null","null",
"1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland","46980","7653","null","null",
"1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland","45762","8181","null","null",
"1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland","39144","5787","null","null",
"1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland","67554","12851","null","null",
"1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland","49351","12801","null","null",
"1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland","52120","18177","null","null",
"1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland","31944","7052","null","null",
"1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland","46260","9101","null","null",
"1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland","45047","7120","null","null",
"1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland","67016","26710","null","null",
"1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland","42711","8484","null","null",
"1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland","34986","4096","null","null",
"1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland","55735","12708","null","null",
"1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland","73549","22675","null","null",
"1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland","40468","9211","null","null",
"1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland","55320","21786","null","null",
"1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland","50998","13902","null","null",
"1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland","52492","6717","null","null",
"1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland","49240","6061","null","null",
"1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland","77427","66733","null","null",
"1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland","80201","22684","null","null",
"1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland","94527","53592","null","null",
"1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland","37824","6131","null","null",
"1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland","57465","6599","null","null",
"1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland","50076","6242","null","null",
"1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland","41384","7802","null","null",
"1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland","44628","5023","null","null",
"1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland","44304","6418","null","null",
"1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland","34891","5343","null","null",
"1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland","41355","9490","null","null",
"1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland","42880","10511","null","null",
"1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland","44005","5035","null","null",
"1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland","46646","7513","null","null",
"1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland","52617","5626","null","null",
"1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland","67289","11223","null","null",
"1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland","48226","8458","null","null",
"1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland","42534","8882","null","null",
"1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland","74293","11215","null","null",
"1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland","51628","6536","null","null",
