"B11006_001E","B11006_001M","B11006_002E","B11006_002M","B11006_003E","B11006_003M","B11006_004E","B11006_004M","B11006_005E","B11006_005M","B11006_006E","B11006_006M","B11006_007E","B11006_007M","B11006_008E","B11006_008M","B11006_009E","B11006_009M","B11006_010E","B11006_010M","B11006_011E","B11006_011M","B11006_012E","B11006_012M","B11006_013E","B11006_013M","B11006_014E","B11006_014M","B11006_015E","B11006_015M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Households with one or more people 60 years and over","Margin of Error!!Total!!Households with one or more people 60 years and over","Estimate!!Total!!Households with one or more people 60 years and over!!Family households","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Married-couple family","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Married-couple family","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Other family","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Other family","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with one or more people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with one or more people 60 years and over!!Nonfamily households","Margin of Error!!Total!!Households with one or more people 60 years and over!!Nonfamily households","Estimate!!Total!!Households with no people 60 years and over","Margin of Error!!Total!!Households with no people 60 years and over","Estimate!!Total!!Households with no people 60 years and over!!Family households","Margin of Error!!Total!!Households with no people 60 years and over!!Family households","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Married-couple family","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Married-couple family","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Other family","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Other family","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Male householder, no wife present","Estimate!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Households with no people 60 years and over!!Family households!!Other family!!Female householder, no husband present","Estimate!!Total!!Households with no people 60 years and over!!Nonfamily households","Margin of Error!!Total!!Households with no people 60 years and over!!Nonfamily households","id","Geographic Area Name"
"299","79","148","45","94","43","94","43","0","12","0","12","0","12","54","27","151","74","74","37","65","35","9","14","9","14","0","12","77","70","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"686","110","375","75","261","66","236","64","25","26","7","12","18","22","114","51","311","85","206","63","166","61","40","38","31","36","9","13","105","68","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"513","85","196","59","118","50","110","48","8","11","0","12","8","11","78","42","317","92","254","77","185","79","69","42","11","17","58","39","63","55","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"334","62","153","53","103","45","103","45","0","12","0","12","0","12","50","33","181","58","125","51","107","44","18","23","8","13","10","18","56","40","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"418","70","180","48","99","34","92","34","7","12","7","12","0","12","81","42","238","64","132","46","125","45","7","12","0","12","7","12","106","66","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"438","87","186","44","131","44","106","39","25","22","9","14","16","17","55","34","252","89","182","81","130","54","52","67","52","67","0","12","70","42","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"583","81","264","66","115","46","108","45","7","10","0","12","7","10","149","65","319","80","266","75","184","77","82","46","0","12","82","46","53","29","1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland"
"225","59","99","47","78","50","69","48","9","13","0","12","9","13","21","20","126","50","104","48","43","31","61","40","13","24","48","48","22","25","1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland"
"234","55","114","43","57","32","47","29","10","15","0","12","10","15","57","32","120","52","80","44","67","43","13","21","0","12","13","21","40","33","1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland"
"258","49","124","39","77","39","62","35","15","22","0","12","15","22","47","28","134","49","117","49","89","45","28","29","0","12","28","29","17","19","1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland"
"568","94","268","79","150","68","117","65","33","25","10","15","23","21","118","52","300","92","223","76","133","60","90","57","35","55","55","35","77","56","1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland"
"326","83","179","52","96","44","61","34","35","28","10","13","25","25","83","34","147","70","58","38","13","15","45","36","0","12","45","36","89","63","1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland"
"668","106","298","73","113","59","91","54","22","25","0","12","22","25","185","66","370","102","189","77","111","67","78","45","10","16","68","44","181","77","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"273","68","132","44","73","40","73","40","0","12","0","12","0","12","59","32","141","62","48","34","48","34","0","12","0","12","0","12","93","53","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"959","123","339","75","181","47","158","43","23","20","0","12","23","20","158","63","620","121","525","105","314","104","211","83","59","53","152","73","95","44","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"298","92","86","31","71","29","64","30","7","11","7","11","0","12","15","17","212","93","100","64","100","64","0","12","0","12","0","12","112","76","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"867","131","434","99","154","47","115","40","39","28","4","9","35","28","280","117","433","115","292","92","149","61","143","77","5","9","138","75","141","81","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"693","125","177","76","106","48","70","40","36","28","0","12","36","28","71","55","516","109","239","57","120","47","119","59","0","12","119","59","277","114","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"441","74","153","34","83","25","63","22","20","16","5","7","15","13","70","28","288","75","207","56","168","47","39","37","4","6","35","36","81","53","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"462","71","119","33","65","25","24","13","41","24","7","10","34","22","54","25","343","72","250","63","124","56","126","49","16","17","110","46","93","43","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"530","86","228","69","91","35","55","30","36","23","0","12","36","23","137","62","302","71","205","65","129","52","76","54","52","47","24","23","97","55","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"664","128","336","84","71","50","43","49","28","25","7","11","21","23","265","67","328","116","82","73","75","71","7","13","0","12","7","13","246","103","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"699","78","311","56","102","45","66","25","36","36","6","10","30","34","209","61","388","62","171","43","142","46","29","20","0","12","29","20","217","51","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"641","75","286","66","136","49","121","48","15","16","0","12","15","16","150","48","355","94","254","76","226","75","28","31","0","12","28","31","101","61","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"345","69","176","55","109","44","86","43","23","25","0","12","23","25","67","36","169","65","123","64","94","68","29","28","7","18","22","21","46","35","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
