"GEO_ID","NAME","B19301_001E","B19301_001EA","B19301_001M","B19301_001MA",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Estimate!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)","Annotation of Margin of Error!!Per capita income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland","21485","null","3797","null",
"1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland","17787","null","2473","null",
"1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland","22900","null","3981","null",
"1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland","25667","null","5976","null",
"1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland","27839","null","4183","null",
"1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland","11041","null","1967","null",
"1500000US240010003001","Block Group 1, Census Tract 3, Allegany County, Maryland","21270","null","3690","null",
"1500000US240010003002","Block Group 2, Census Tract 3, Allegany County, Maryland","20161","null","5403","null",
"1500000US240010003003","Block Group 3, Census Tract 3, Allegany County, Maryland","26616","null","7006","null",
"1500000US240010004001","Block Group 1, Census Tract 4, Allegany County, Maryland","32603","null","7479","null",
"1500000US240010004002","Block Group 2, Census Tract 4, Allegany County, Maryland","23741","null","5366","null",
"1500000US240010004003","Block Group 3, Census Tract 4, Allegany County, Maryland","16662","null","5930","null",
"1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland","10952","null","2515","null",
"1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland","22954","null","6663","null",
"1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland","22101","null","3411","null",
"1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland","19220","null","7126","null",
"1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland","16240","null","3212","null",
"1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland","12195","null","2262","null",
"1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland","21028","null","5036","null",
"1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland","10816","null","2433","null",
"1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland","17937","null","2829","null",
"1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland","16133","null","2041","null",
"1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland","23547","null","2606","null",
"1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland","39380","null","9323","null",
"1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland","20879","null","4384","null",
"1500000US240010012003","Block Group 3, Census Tract 12, Allegany County, Maryland","32187","null","5136","null",
"1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland","28772","null","9686","null",
"1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland","5255","null","789","null",
"1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland","51423","null","10826","null",
"1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland","37341","null","10649","null",
"1500000US240010014013","Block Group 3, Census Tract 14.01, Allegany County, Maryland","30031","null","8310","null",
"1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland","24209","null","2442","null",
"1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland","24336","null","4133","null",
"1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland","27244","null","6330","null",
"1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland","21427","null","3595","null",
"1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland","24346","null","3703","null",
"1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland","28662","null","2732","null",
"1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland","35357","null","10722","null",
"1500000US240010017002","Block Group 2, Census Tract 17, Allegany County, Maryland","19437","null","7102","null",
"1500000US240010017003","Block Group 3, Census Tract 17, Allegany County, Maryland","30777","null","4502","null",
"1500000US240010017004","Block Group 4, Census Tract 17, Allegany County, Maryland","15647","null","2604","null",
"1500000US240010018001","Block Group 1, Census Tract 18, Allegany County, Maryland","24053","null","6166","null",
"1500000US240010018002","Block Group 2, Census Tract 18, Allegany County, Maryland","27510","null","7177","null",
