"B11006_001E","B11006_001M","B11006_002E","B11006_002M","B11006_003E","B11006_003M","B11006_004E","B11006_004M","B11006_005E","B11006_005M","B11006_006E","B11006_006M","B11006_007E","B11006_007M","B11006_008E","B11006_008M","B11006_009E","B11006_009M","B11006_010E","B11006_010M","B11006_011E","B11006_011M","B11006_012E","B11006_012M","B11006_013E","B11006_013M","B11006_014E","B11006_014M","B11006_015E","B11006_015M","GEO_ID","NAME"
"508","57","269","49","159","43","121","39","38","25","6","6","32","24","110","44","239","57","209","51","139","45","70","32","31","26","39","25","30","21","1500000US240010019002","Block Group 2, Census Tract 19, Allegany County, Maryland"
"740","148","357","154","166","88","166","88","0","12","0","12","0","12","191","131","383","147","323","144","178","94","145","114","0","12","145","114","60","49","1500000US240010020001","Block Group 1, Census Tract 20, Allegany County, Maryland"
"1083","160","458","120","279","99","231","86","48","74","0","12","48","74","179","83","625","162","516","156","397","120","119","100","0","12","119","100","109","76","1500000US240010020002","Block Group 2, Census Tract 20, Allegany County, Maryland"
"435","118","217","85","128","72","110","61","18","40","0","12","18","40","89","60","218","119","147","93","147","93","0","12","0","12","0","12","71","86","1500000US240010020003","Block Group 3, Census Tract 20, Allegany County, Maryland"
"749","80","297","54","195","45","168","43","27","16","0","12","27","16","102","33","452","75","357","72","207","54","150","57","44","33","106","46","95","40","1500000US240010021001","Block Group 1, Census Tract 21, Allegany County, Maryland"
"494","82","231","56","124","40","104","39","20","17","18","16","2","3","107","56","263","75","168","63","139","60","29","19","5","8","24","18","95","57","1500000US240010021002","Block Group 2, Census Tract 21, Allegany County, Maryland"
"472","74","275","75","134","54","124","52","10","15","0","12","10","15","141","59","197","71","143","64","143","64","0","12","0","12","0","12","54","59","1500000US240010022001","Block Group 1, Census Tract 22, Allegany County, Maryland"
"556","94","210","72","59","37","42","33","17","27","0","12","17","27","151","65","346","80","277","65","157","41","120","50","47","45","73","50","69","48","1500000US240010022002","Block Group 2, Census Tract 22, Allegany County, Maryland"
"639","78","329","60","213","57","178","56","35","24","9","10","26","23","116","43","310","76","232","69","156","56","76","47","22","21","54","43","78","48","1500000US240010022003","Block Group 3, Census Tract 22, Allegany County, Maryland"
"303","60","159","51","151","52","133","51","18","21","0","12","18","21","8","12","144","57","138","56","127","55","11","16","0","12","11","16","6","10","1500000US240037011011","Block Group 1, Census Tract 7011.01, Anne Arundel County, Maryland"
"353","68","174","53","99","41","91","40","8","13","0","12","8","13","75","36","179","69","139","58","119","54","20","21","0","12","20","21","40","42","1500000US240037011012","Block Group 2, Census Tract 7011.01, Anne Arundel County, Maryland"
"306","53","210","54","103","40","79","39","24","26","9","14","15","21","107","46","96","38","87","36","77","39","10","15","0","12","10","15","9","13","1500000US240037011013","Block Group 3, Census Tract 7011.01, Anne Arundel County, Maryland"
"545","64","201","52","173","54","154","53","19","20","6","10","13","18","28","22","344","71","319","71","299","73","20","22","0","12","20","22","25","19","1500000US240037011014","Block Group 4, Census Tract 7011.01, Anne Arundel County, Maryland"
"1158","152","486","129","200","90","189","87","11","19","0","12","11","19","286","113","672","156","406","136","287","121","119","71","48","42","71","55","266","127","1500000US240037011021","Block Group 1, Census Tract 7011.02, Anne Arundel County, Maryland"
"348","67","242","63","160","69","145","71","15","23","0","12","15","23","82","57","106","52","93","50","63","41","30","34","15","24","15","24","13","23","1500000US240037011022","Block Group 2, Census Tract 7011.02, Anne Arundel County, Maryland"
"764","122","221","79","155","67","80","47","75","56","15","24","60","50","66","51","543","132","388","120","328","122","60","45","30","32","30","34","155","95","1500000US240037011023","Block Group 3, Census Tract 7011.02, Anne Arundel County, Maryland"
"824","113","176","82","128","70","80","60","48","42","0","12","48","42","48","45","648","122","417","103","283","117","134","71","30","35","104","73","231","94","1500000US240037011024","Block Group 4, Census Tract 7011.02, Anne Arundel County, Maryland"
"854","137","375","101","293","91","214","66","79","85","0","12","79","85","82","75","479","117","430","119","345","106","85","71","58","66","27","29","49","47","1500000US240037012001","Block Group 1, Census Tract 7012, Anne Arundel County, Maryland"
"600","118","310","103","199","75","159","73","40","46","0","12","40","46","111","79","290","100","235","90","216","86","19","29","19","29","0","12","55","53","1500000US240037012002","Block Group 2, Census Tract 7012, Anne Arundel County, Maryland"
"794","141","272","92","216","86","185","83","31","34","0","12","31","34","56","47","522","136","364","125","217","113","147","86","0","12","147","86","158","110","1500000US240037012003","Block Group 3, Census Tract 7012, Anne Arundel County, Maryland"
"755","130","238","90","197","95","181","92","16","25","16","25","0","12","41","39","517","130","379","123","328","127","51","43","31","34","20","27","138","72","1500000US240037012004","Block Group 4, Census Tract 7012, Anne Arundel County, Maryland"
"587","85","375","88","233","80","185","74","48","39","0","12","48","39","142","91","212","75","212","75","182","70","30","34","15","24","15","24","0","12","1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland"
"688","89","219","82","154","69","154","69","0","12","0","12","0","12","65","53","469","104","437","100","421","95","16","28","0","12","16","28","32","37","1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland"
"394","108","262","100","228","103","202","101","26","39","0","12","26","39","34","41","132","64","132","64","117","60","15","26","0","12","15","26","0","12","1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland"
"1076","144","501","113","354","117","338","111","16","25","16","25","0","12","147","79","575","155","455","152","303","111","152","113","0","12","152","113","120","91","1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland"
"356","80","169","56","125","48","75","38","50","31","8","13","42","28","44","29","187","72","161","61","81","51","80","43","39","52","41","42","26","42","1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland"
"853","70","475","80","392","80","349","77","43","29","8","13","35","27","83","57","378","79","321","72","280","54","41","42","24","38","17","19","57","46","1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland"
"918","110","516","103","386","100","285","89","101","63","0","12","101","63","130","71","402","112","323","109","303","101","20","34","0","12","20","34","79","57","1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland"
"348","65","193","71","155","68","138","59","17","29","17","29","0","12","38","33","155","68","84","52","67","52","17","23","0","12","17","23","71","50","1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland"
"566","123","363","133","144","71","144","71","0","12","0","12","0","12","219","116","203","89","175","80","159","81","16","25","0","12","16","25","28","32","1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland"
"469","95","186","72","186","72","172","69","14","22","0","12","14","22","0","12","283","121","172","80","172","80","0","12","0","12","0","12","111","100","1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland"
"279","69","57","38","44","31","44","31","0","12","0","12","0","12","13","22","222","66","137","68","108","56","29","32","14","23","15","23","85","63","1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland"
"750","71","306","61","247","58","228","52","19","20","0","12","19","20","59","35","444","76","425","73","379","70","46","35","11","17","35","31","19","21","1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland"
"756","73","324","72","220","75","199","73","21","24","0","12","21","24","104","48","432","66","352","70","298","70","54","41","11","17","43","38","80","45","1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland"
"927","155","425","86","338","82","303","83","35","35","11","17","24","30","87","48","502","147","421","143","261","97","160","108","74","50","86","105","81","58","1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland"
"924","136","280","87","132","72","78","54","54","56","0","12","54","56","148","71","644","146","338","101","209","85","129","76","0","12","129","76","306","108","1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland"
"456","93","191","59","116","53","106","49","10","16","0","12","10","16","75","47","265","104","265","104","215","100","50","54","0","12","50","54","0","12","1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland"
"949","151","304","130","275","124","268","124","7","17","7","17","0","12","29","35","645","142","495","148","309","112","186","114","109","59","77","93","150","76","1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland"
"825","148","298","140","97","86","80","80","17","29","17","29","0","12","201","124","527","162","323","132","210","102","113","85","0","12","113","85","204","113","1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland"
"665","129","114","78","105","78","105","78","0","12","0","12","0","12","9","14","551","149","540","152","410","134","130","103","0","12","130","103","11","18","1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland"
"1897","178","382","155","241","138","94","60","147","125","43","47","104","114","141","79","1515","234","1096","201","689","161","407","128","157","95","250","121","419","158","1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland"
"831","116","329","92","315","94","229","81","86","75","55","70","31","34","14","21","502","135","485","132","413","116","72","59","59","56","13","22","17","28","1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland"
"343","48","77","36","61","35","47","30","14","17","0","12","14","17","16","17","266","57","253","57","235","58","18","20","0","12","18","20","13","17","1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland"
"418","61","133","47","84","42","75","41","9","14","0","12","9","14","49","38","285","57","285","57","237","54","48","37","13","20","35","34","0","12","1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland"
"693","89","154","61","117","57","117","57","0","12","0","12","0","12","37","26","539","101","435","98","359","84","76","43","14","16","62","39","104","82","1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland"
"234","69","88","47","70","41","56","35","14","22","0","12","14","22","18","21","146","71","139","74","129","74","10","15","0","12","10","15","7","11","1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland"
"585","87","324","71","265","67","234","66","31","28","8","12","23","25","59","45","261","85","252","83","217","77","35","31","0","12","35","31","9","15","1500000US240037023002","Block Group 2, Census Tract 7023, Anne Arundel County, Maryland"
"545","92","233","67","176","61","150","60","26","23","9","14","17","20","57","38","312","88","299","85","284","83","15","23","0","12","15","23","13","19","1500000US240037023003","Block Group 3, Census Tract 7023, Anne Arundel County, Maryland"
"654","77","270","61","186","57","169","54","17","18","0","12","17","18","84","46","384","87","204","67","161","63","43","34","11","18","32","29","180","98","1500000US240037023004","Block Group 4, Census Tract 7023, Anne Arundel County, Maryland"
"749","145","229","80","149","61","143","59","6","12","0","12","6","12","80","56","520","135","264","115","184","75","80","86","13","23","67","81","256","104","1500000US240037024021","Block Group 1, Census Tract 7024.02, Anne Arundel County, Maryland"
"1851","169","953","162","460","115","444","120","16","27","0","12","16","27","493","148","898","173","486","129","374","112","112","80","55","53","57","51","412","144","1500000US240037024022","Block Group 2, Census Tract 7024.02, Anne Arundel County, Maryland"
"831","118","629","108","342","100","328","103","14","23","0","12","14","23","287","99","202","77","132","62","90","60","42","43","0","12","42","43","70","51","1500000US240037024023","Block Group 3, Census Tract 7024.02, Anne Arundel County, Maryland"
"498","131","138","68","120","63","86","59","34","39","34","39","0","12","18","28","360","133","297","125","165","56","132","114","84","132","48","80","63","57","1500000US240037025001","Block Group 1, Census Tract 7025, Anne Arundel County, Maryland"
"442","163","71","90","18","27","18","27","0","12","0","12","0","12","53","85","371","142","265","135","152","116","113","103","0","12","113","103","106","76","1500000US240037025002","Block Group 2, Census Tract 7025, Anne Arundel County, Maryland"
"860","189","240","111","240","111","142","80","98","70","0","12","98","70","0","12","620","187","509","172","334","154","175","122","0","12","175","122","111","116","1500000US240037025003","Block Group 3, Census Tract 7025, Anne Arundel County, Maryland"
"325","81","158","83","115","73","115","73","0","12","0","12","0","12","43","49","167","105","143","99","143","99","0","12","0","12","0","12","24","38","1500000US240037025004","Block Group 4, Census Tract 7025, Anne Arundel County, Maryland"
"195","80","79","51","66","49","66","49","0","12","0","12","0","12","13","20","116","79","33","27","33","27","0","12","0","12","0","12","83","76","1500000US240037026011","Block Group 1, Census Tract 7026.01, Anne Arundel County, Maryland"
"626","105","272","99","166","83","166","83","0","12","0","12","0","12","106","78","354","119","354","119","283","106","71","67","15","24","56","63","0","12","1500000US240037026012","Block Group 2, Census Tract 7026.01, Anne Arundel County, Maryland"
"311","71","170","72","116","61","64","43","52","65","0","12","52","65","54","43","141","63","119","59","104","59","15","24","0","12","15","24","22","33","1500000US240037026013","Block Group 3, Census Tract 7026.01, Anne Arundel County, Maryland"
"507","125","335","108","160","64","142","67","18","26","0","12","18","26","175","111","172","73","111","79","53","50","58","63","26","43","32","51","61","58","1500000US240037026014","Block Group 4, Census Tract 7026.01, Anne Arundel County, Maryland"
"580","133","176","91","139","88","139","88","0","12","0","12","0","12","37","43","404","115","242","113","108","71","134","100","73","63","61","63","162","90","1500000US240037026015","Block Group 5, Census Tract 7026.01, Anne Arundel County, Maryland"
"1003","123","466","108","326","77","293","82","33","31","3","5","30","31","140","76","537","108","483","108","399","95","84","66","64","59","20","25","54","48","1500000US240037026021","Block Group 1, Census Tract 7026.02, Anne Arundel County, Maryland"
"1071","141","513","129","257","99","257","99","0","12","0","12","0","12","256","107","558","172","404","165","349","160","55","50","0","12","55","50","154","94","1500000US240037026022","Block Group 2, Census Tract 7026.02, Anne Arundel County, Maryland"
"444","91","218","68","195","67","178","62","17","27","17","27","0","12","23","36","226","88","129","70","129","70","0","12","0","12","0","12","97","65","1500000US240037026023","Block Group 3, Census Tract 7026.02, Anne Arundel County, Maryland"
"475","104","190","77","97","63","97","63","0","12","0","12","0","12","93","56","285","89","82","59","66","54","16","26","16","26","0","12","203","78","1500000US240037027011","Block Group 1, Census Tract 7027.01, Anne Arundel County, Maryland"
"605","99","267","64","130","69","130","69","0","12","0","12","0","12","137","69","338","82","207","68","207","68","0","12","0","12","0","12","131","69","1500000US240037027012","Block Group 2, Census Tract 7027.01, Anne Arundel County, Maryland"
"1176","139","177","104","31","35","31","35","0","12","0","12","0","12","146","103","999","155","445","166","404","164","41","48","0","12","41","48","554","159","1500000US240037027013","Block Group 3, Census Tract 7027.01, Anne Arundel County, Maryland"
"531","79","298","65","212","58","193","57","19","23","0","12","19","23","86","42","233","63","222","61","217","61","5","8","5","8","0","12","11","14","1500000US240037027021","Block Group 1, Census Tract 7027.02, Anne Arundel County, Maryland"
"917","91","530","90","367","79","349","76","18","20","9","14","9","14","163","78","387","79","333","73","273","64","60","44","30","33","30","28","54","38","1500000US240037027022","Block Group 2, Census Tract 7027.02, Anne Arundel County, Maryland"
"639","84","306","64","217","50","202","51","15","17","0","12","15","17","89","44","333","76","161","54","149","53","12","18","12","18","0","12","172","69","1500000US240037061011","Block Group 1, Census Tract 7061.01, Anne Arundel County, Maryland"
"704","128","151","50","121","48","114","46","7","13","7","13","0","12","30","26","553","126","272","100","170","70","102","87","0","12","102","87","281","110","1500000US240037061012","Block Group 2, Census Tract 7061.01, Anne Arundel County, Maryland"
"268","93","142","71","61","48","0","12","61","48","0","12","61","48","81","65","126","76","76","59","12","18","64","56","0","12","64","56","50","42","1500000US240037061013","Block Group 3, Census Tract 7061.01, Anne Arundel County, Maryland"
"714","182","308","132","43","39","43","39","0","12","0","12","0","12","265","128","406","121","299","91","227","96","72","49","9","17","63","47","107","68","1500000US240037063011","Block Group 1, Census Tract 7063.01, Anne Arundel County, Maryland"
"1044","165","567","127","85","57","69","50","16","28","0","12","16","28","482","118","477","161","302","135","176","75","126","107","15","23","111","105","175","91","1500000US240037063012","Block Group 2, Census Tract 7063.01, Anne Arundel County, Maryland"
"626","113","442","111","179","78","149","78","30","34","0","12","30","34","263","104","184","98","101","69","92","67","9","18","0","12","9","18","83","69","1500000US240037063013","Block Group 3, Census Tract 7063.01, Anne Arundel County, Maryland"
"778","95","288","76","92","39","92","39","0","12","0","12","0","12","196","68","490","97","107","57","59","39","48","40","48","40","0","12","383","96","1500000US240037063021","Block Group 1, Census Tract 7063.02, Anne Arundel County, Maryland"
"407","75","151","47","93","40","93","40","0","12","0","12","0","12","58","39","256","86","139","73","130","72","9","14","0","12","9","14","117","53","1500000US240037063022","Block Group 2, Census Tract 7063.02, Anne Arundel County, Maryland"
"564","78","311","75","225","68","210","66","15","12","0","12","15","12","86","38","253","89","120","71","112","70","8","13","0","12","8","13","133","61","1500000US240037063023","Block Group 3, Census Tract 7063.02, Anne Arundel County, Maryland"
"873","143","395","149","246","120","134","81","112","109","87","102","25","40","149","82","478","151","304","140","235","120","69","58","0","12","69","58","174","80","1500000US240037064011","Block Group 1, Census Tract 7064.01, Anne Arundel County, Maryland"
