"B14007_001E","B14007_001M","B14007_002E","B14007_002M","B14007_003E","B14007_003M","B14007_004E","B14007_004M","B14007_005E","B14007_005M","B14007_006E","B14007_006M","B14007_007E","B14007_007M","B14007_008E","B14007_008M","B14007_009E","B14007_009M","B14007_010E","B14007_010M","B14007_011E","B14007_011M","B14007_012E","B14007_012M","B14007_013E","B14007_013M","B14007_014E","B14007_014M","B14007_015E","B14007_015M","B14007_016E","B14007_016M","B14007_017E","B14007_017M","B14007_018E","B14007_018M","B14007_019E","B14007_019M","GEO_ID","NAME"
"Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Enrolled in school:","Margin of Error!!Total:!!Enrolled in school:","Estimate!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in nursery school, preschool","Estimate!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in kindergarten","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 1","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 1","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 2","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 2","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 3","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 3","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 4","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 4","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 5","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 5","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 6","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 6","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 7","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 7","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 8","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 8","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 9","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 9","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 10","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 10","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 11","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 11","Estimate!!Total:!!Enrolled in school:!!Enrolled in grade 12","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in grade 12","Estimate!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Margin of Error!!Total:!!Enrolled in school:!!Enrolled in college, undergraduate years","Estimate!!Total:!!Enrolled in school:!!Graduate or professional school","Margin of Error!!Total:!!Enrolled in school:!!Graduate or professional school","Estimate!!Total:!!Not enrolled in school","Margin of Error!!Total:!!Not enrolled in school","id","Geographic Area Name"
"737","285","144","164","0","13","7","12","42","61","0","13","0","13","0","13","0","13","0","13","0","13","24","35","0","13","24","34","13","20","0","13","34","36","0","13","593","163","1500000US240010001001","Block Group 1, Census Tract 1, Allegany County, Maryland"
"1876","376","429","150","4","7","23","28","18","21","14","16","11","17","13","20","40","38","9","13","12","19","26","29","29","24","23","37","65","48","53","48","89","61","0","13","1447","308","1500000US240010001002","Block Group 2, Census Tract 1, Allegany County, Maryland"
"948","187","125","72","0","13","0","13","5","7","9","15","23","26","0","13","13","21","11","16","11","18","2","12","19","17","0","13","32","46","0","13","0","13","0","13","823","164","1500000US240010001003","Block Group 3, Census Tract 1, Allegany County, Maryland"
"673","228","46","42","0","13","7","13","0","13","0","13","0","13","18","26","0","13","0","13","0","13","0","13","0","13","0","13","3","11","0","13","11","17","7","11","627","214","1500000US240010002001","Block Group 1, Census Tract 2, Allegany County, Maryland"
"932","271","87","76","0","13","0","13","0","13","0","13","17","24","0","13","17","24","8","11","6","12","17","24","7","11","0","13","4","7","0","13","11","18","0","13","845","243","1500000US240010002002","Block Group 2, Census Tract 2, Allegany County, Maryland"
"2163","348","216","108","0","13","0","13","5","13","20","33","25","28","0","13","6","14","10","16","0","13","33","38","5","15","19","28","29","32","45","52","19","30","0","13","1947","308","1500000US240010002003","Block Group 3, Census Tract 2, Allegany County, Maryland"
"1088","265","222","170","9","14","0","13","39","52","5","10","0","13","34","49","0","13","0","13","0","13","0","13","39","47","0","13","0","13","18","22","48","49","30","51","866","195","1500000US240010005001","Block Group 1, Census Tract 5, Allegany County, Maryland"
"1154","294","705","187","23","24","0","13","10","19","0","13","0","13","0","13","0","13","6","12","0","13","1","3","1","3","0","13","25","33","2","4","628","167","9","13","449","211","1500000US240010005002","Block Group 2, Census Tract 5, Allegany County, Maryland"
"1917","305","447","215","47","43","10","16","27","28","9","13","31","48","20","22","9","13","18","24","0","13","6","13","134","102","7","14","14","22","0","13","55","29","60","88","1470","198","1500000US240010006001","Block Group 1, Census Tract 6, Allegany County, Maryland"
"895","235","383","116","48","55","37","31","7","24","0","13","0","13","0","13","58","57","46","62","9","17","76","53","37","31","0","13","9","16","0","13","56","56","0","13","512","158","1500000US240010006002","Block Group 2, Census Tract 6, Allegany County, Maryland"
"1794","390","524","211","53","74","0","13","25","36","33","43","7","12","27","38","17","18","7","13","25","36","28","33","29","32","82","55","74","62","0","13","100","84","17","25","1270","225","1500000US240010007001","Block Group 1, Census Tract 7, Allegany County, Maryland"
"1321","297","320","156","7","10","0","13","0","13","0","13","38","41","30","41","14","16","7","11","62","63","23","21","0","13","37","32","0","13","50","45","52","48","0","13","1001","213","1500000US240010007002","Block Group 2, Census Tract 7, Allegany County, Maryland"
"1138","291","242","130","51","36","8","13","8","13","12","20","0","13","0","13","0","13","5","8","8","13","51","64","12","17","0","13","0","13","41","51","42","27","4","6","896","206","1500000US240010008001","Block Group 1, Census Tract 8, Allegany County, Maryland"
"809","198","265","109","25","25","15","25","30","29","28","38","10","11","31","32","27","29","19","19","18","17","24","33","18","21","0","13","16","26","4","8","0","13","0","13","544","147","1500000US240010008002","Block Group 2, Census Tract 8, Allegany County, Maryland"
"1333","342","474","184","12","16","17","25","0","13","18","22","0","13","13","16","33","29","17","26","66","61","41","34","64","79","60","61","24","31","0","13","77","70","32","47","859","187","1500000US240010010001","Block Group 1, Census Tract 10, Allegany County, Maryland"
"849","241","86","93","0","13","15","18","0","13","0","13","0","13","0","13","0","13","0","13","0","13","5","9","12","21","0","13","12","21","19","32","23","39","0","13","763","219","1500000US240010010002","Block Group 2, Census Tract 10, Allegany County, Maryland"
"639","129","157","63","5","8","12","12","13","10","13","16","17","13","0","13","0","13","15","17","0","13","4","7","24","23","0","13","6","9","0","13","5","8","43","32","482","95","1500000US240010011001","Block Group 1, Census Tract 11, Allegany County, Maryland"
"513","147","49","45","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","10","13","18","0","13","0","13","14","15","0","13","9","14","7","11","464","131","1500000US240010011002","Block Group 2, Census Tract 11, Allegany County, Maryland"
"824","290","241","165","23","31","0","13","7","11","10","16","10","17","11","16","11","16","48","51","0","13","30","48","0","13","29","46","0","13","0","13","34","28","28","39","583","174","1500000US240010012001","Block Group 1, Census Tract 12, Allegany County, Maryland"
"2244","437","493","135","0","13","15","21","0","13","12","20","49","41","11","19","50","43","18","22","74","78","25","28","40","38","0","13","23","22","0","13","151","91","25","28","1751","370","1500000US240010012002","Block Group 2, Census Tract 12, Allegany County, Maryland"
"1190","243","197","87","16","22","0","13","7","11","0","13","0","13","0","13","23","22","12","17","6","10","40","50","19","19","21","22","24","20","0","13","29","30","0","13","993","214","1500000US240010013001","Block Group 1, Census Tract 13, Allegany County, Maryland"
"4323","284","311","92","7","10","4","6","3","5","6","10","0","13","3","8","0","13","0","13","13","17","0","13","17","25","69","40","43","37","92","51","29","26","25","23","4012","282","1500000US240010013002","Block Group 2, Census Tract 13, Allegany County, Maryland"
"936","248","157","99","22","35","0","13","44","52","11","17","0","13","0","13","15","22","13","22","6","9","0","13","0","13","4","6","0","13","0","13","22","29","20","32","779","188","1500000US240010014011","Block Group 1, Census Tract 14.01, Allegany County, Maryland"
"2671","419","537","226","114","110","22","27","0","13","62","68","25","31","25","29","0","13","2","5","20","26","18","15","11","16","38","37","17","26","18","22","102","70","63","95","2134","283","1500000US240010014012","Block Group 2, Census Tract 14.01, Allegany County, Maryland"
"1692","217","254","72","12","12","14","14","5","8","11","11","12","13","24","19","13","13","7","11","0","13","20","18","27","19","17","15","29","19","12","13","51","41","0","13","1438","203","1500000US240010014021","Block Group 1, Census Tract 14.02, Allegany County, Maryland"
"2044","272","324","115","51","36","7","14","0","13","51","38","30","26","22","22","18","20","34","18","12","15","11","12","6","12","5","8","15","17","6","10","52","42","4","7","1720","232","1500000US240010015021","Block Group 1, Census Tract 15.02, Allegany County, Maryland"
"594","216","61","47","0","13","0","13","0","13","0","13","4","7","0","13","7","11","18","17","0","13","4","7","0","13","6","10","7","10","0","13","15","15","0","13","533","203","1500000US240010015031","Block Group 1, Census Tract 15.03, Allegany County, Maryland"
"535","164","77","72","0","13","0","13","15","21","0","13","0","13","0","13","14","21","2","6","0","13","0","13","0","13","20","34","0","13","0","13","6","9","20","31","458","125","1500000US240010015032","Block Group 2, Census Tract 15.03, Allegany County, Maryland"
"601","171","80","44","5","8","19","16","0","13","0","13","5","9","0","13","8","11","18","19","7","10","0","13","0","13","12","18","0","13","0","13","6","11","0","13","521","145","1500000US240010015033","Block Group 3, Census Tract 15.03, Allegany County, Maryland"
"1790","252","334","92","36","20","5","10","13","13","48","32","15","16","14","12","4","6","15","15","10","16","25","28","0","13","8","12","9","14","7","10","101","73","24","22","1456","222","1500000US240010016001","Block Group 1, Census Tract 16, Allegany County, Maryland"
"1041","267","424","139","28","18","0","13","32","20","36","23","0","13","0","13","17","24","0","13","0","13","57","73","0","13","15","26","0","13","14","25","142","137","83","98","617","203","1500000US240010017001","Block Group 1, Census Tract 17, Allegany County, Maryland"
